,area_type,availability,bedrooms,total_sqft,bath,balcony,ranked,price in rupees
85,B,1,2.0,1260.0,2.0,2.0,231,7000000.0
86,B,1,2.0,914.0,2.0,2.0,327,4700000.0
87,B,1,3.0,1631.0,3.0,2.0,447,8000000.0
88,P,1,4.0,1450.0,3.0,3.0,180,13200000.0
89,P,1,3.0,1200.0,4.0,0.0,136,14500000.0
90,B,1,2.0,1349.0,2.0,2.0,205,7800000.0
91,P,1,6.0,1200.0,5.0,2.0,90,24000000.0
92,B,1,2.0,1214.0,2.0,3.0,205,6700000.0
93,B,1,2.0,925.0,2.0,2.0,149,4800000.0
94,B,1,2.0,1113.0,2.0,1.0,429,5100000.0
95,B,1,2.0,1500.0,2.0,2.0,175,18500000.0
96,P,1,4.0,1200.0,4.0,2.0,101,11500000.0
97,B,1,2.0,883.0,2.0,1.0,341,3900000.0
98,P,0,4.0,3565.0,4.0,3.0,67,25500000.0
99,B,1,2.0,1180.0,2.0,2.0,449,4000000.0
100,B,1,3.0,1460.0,2.0,2.0,261,5839000.0
101,B,1,3.0,1255.0,3.0,1.0,301,13000000.0
102,B,1,3.0,1340.0,2.0,3.0,431,4200000.0
103,B,1,2.0,1130.0,2.0,2.0,247,3600000.0
104,B,0,3.0,1313.0,3.0,1.0,209,9600000.0
105,B,1,2.0,1206.0,2.0,1.0,204,5300000.0
106,B,1,2.0,1385.0,2.0,1.0,182,8309000.0
107,P,1,5.0,910.0,4.0,2.0,260,19400000.0
108,B,1,3.0,1843.0,3.0,2.0,335,9620000.0
109,B,1,2.0,1130.0,2.0,2.0,203,8500000.0
110,P,1,4.0,2400.0,4.0,2.0,40,35800000.0
111,B,1,3.0,1354.0,3.0,1.0,290,8586000.0
112,B,0,2.0,1089.0,2.0,1.0,181,3267000.0
113,B,1,2.0,1000.0,2.0,1.0,203,3800000.0
114,B,1,2.0,1100.0,2.0,1.0,237,4500000.0
115,B,1,3.0,1872.0,3.0,2.0,145,15200000.0
116,B,1,3.0,1577.0,3.0,1.0,276,7000000.0
117,B,1,2.0,1169.0,2.0,2.0,209,6408000.0
118,B,1,3.0,2500.0,3.0,3.0,93,34000000.0
119,B,1,3.0,1527.0,3.0,2.0,231,11500000.0
120,B,0,2.0,1205.0,2.0,1.0,391,8100000.0
121,B,0,2.0,1000.0,2.0,1.0,398,2970000.0
122,B,0,3.0,1450.0,2.0,3.0,49,8960000.0
123,P,1,5.0,1200.0,4.0,2.0,182,15000000.0
124,B,1,2.0,1400.0,2.0,2.0,231,7800000.0
125,B,1,3.0,1465.0,2.0,1.0,231,7600000.0
126,B,0,2.0,1277.0,2.0,1.0,134,7700000.0
127,B,1,4.0,3600.0,4.0,0.0,214,26000000.0
128,B,0,1.0,605.0,1.0,1.0,431,4000000.0
129,B,1,3.0,1100.0,2.0,3.0,181,8500000.0
130,B,1,2.0,1148.0,2.0,1.0,261,5600000.0
131,B,0,2.0,1232.0,2.0,1.0,182,8300000.0
132,B,1,2.0,1070.0,2.0,1.0,254,5400000.0
133,B,0,2.0,1128.0,2.0,1.0,447,6500000.0
134,B,1,2.0,1100.0,2.0,0.0,231,3900000.0
135,B,0,2.0,1200.0,2.0,0.0,39,6000000.0
136,B,1,3.0,1894.0,4.0,1.0,153,11400000.0
137,P,1,3.0,2400.0,4.0,2.0,120,32500000.0
138,B,1,3.0,1700.0,3.0,1.0,46,18000000.0
139,B,1,3.0,1265.0,2.0,1.0,411,6500000.0
140,B,1,3.0,1550.0,2.0,2.0,134,4960000.0
141,B,1,2.0,1127.0,2.0,2.0,433,5500000.0
142,B,1,3.0,1888.0,4.0,1.0,171,9500000.0
143,B,1,7.0,1800.0,5.0,3.0,103,6500000.0
144,B,1,3.0,1351.0,2.0,2.0,226,7800000.0
145,B,1,3.0,1664.0,3.0,2.0,352,6800000.0
146,B,0,2.0,1100.0,2.0,1.0,134,3700000.0
147,B,0,2.0,1225.0,2.0,2.0,105,4800000.0
148,B,1,3.0,1735.0,3.0,2.0,301,9700000.0
149,B,1,2.0,970.0,2.0,1.0,447,3500000.0
150,B,1,2.0,800.0,1.0,1.0,275,3200000.0
151,B,1,2.0,1900.0,2.0,1.0,49,20000000.0
152,B,0,3.0,1960.0,3.0,1.0,203,13800000.0
153,B,1,2.0,1101.0,2.0,1.0,175,5000000.0
154,B,1,3.0,1443.0,2.0,2.0,414,7000000.0
155,B,1,3.0,1400.0,3.0,2.0,392,7500000.0
156,B,0,4.0,2470.0,5.0,2.0,78,19200000.0
157,B,1,3.0,1252.0,3.0,2.0,327,5900000.0
158,B,1,2.0,1113.0,2.0,1.0,171,4450000.0
159,B,1,2.0,1275.0,2.0,2.0,407,5200000.0
160,B,0,3.0,1250.0,3.0,3.0,203,4890000.0
161,B,0,2.0,1215.0,2.0,1.0,175,5126000.0
162,B,1,2.0,1115.0,2.0,1.0,171,5000000.0
163,B,0,2.0,1100.0,2.0,2.0,203,3500000.0
164,B,0,2.0,1168.0,2.0,1.0,93,6100000.0
165,B,1,3.0,1500.0,3.0,3.0,56,9500000.0
166,B,0,3.0,1611.0,2.0,2.0,416,6444000.0
167,P,1,4.0,1200.0,4.0,2.0,245,18000000.0
168,B,0,2.0,1326.0,2.0,2.0,265,7800000.0
169,B,1,2.0,1025.0,2.0,1.0,237,4200000.0
170,B,1,3.0,1651.0,3.0,3.0,233,9738000.0
171,B,1,4.0,4050.0,2.0,1.0,171,45000000.0
172,B,1,5.0,2000.0,4.0,0.0,245,6500000.0
173,B,1,2.0,1170.0,2.0,2.0,152,5200000.0
174,B,1,2.0,1000.0,2.0,1.0,231,5000000.0
175,P,1,4.0,3640.0,4.0,1.0,473,27500000.0
176,B,0,2.0,1128.0,2.0,1.0,447,6400000.0
177,P,1,4.0,7500.0,6.0,2.0,5,180000000.0
178,B,1,2.0,633.0,1.0,1.0,435,1800000.0
179,B,1,3.0,4170.0,3.0,2.0,5,80000000.0
180,B,1,2.0,910.0,2.0,2.0,447,4200000.0
181,B,1,2.0,1144.0,2.0,2.0,93,3854999.9999999995
182,B,1,2.0,1215.0,2.0,2.0,221,5900000.0
183,B,0,1.0,663.0,1.0,0.0,233,3282000.0
184,B,1,3.0,1430.0,2.0,0.0,226,5500000.0
185,B,1,2.0,1149.0,2.0,1.0,151,7500000.0
186,B,0,1.0,933.0,1.0,1.0,233,6100000.0
187,B,1,2.0,1196.0,2.0,2.0,93,5151000.0
188,B,1,3.0,1837.0,2.0,2.0,257,9500000.0
189,B,1,2.0,1146.0,2.0,1.0,90,5000000.0
190,B,0,2.0,1187.0,2.0,1.0,203,5900000.0
191,B,1,2.0,1254.0,2.0,1.0,214,5300000.0
192,B,1,1.0,800.0,1.0,1.0,378,2950000.0
193,B,1,2.0,1105.0,2.0,2.0,171,4000000.0
194,B,0,2.0,1250.0,1.0,1.0,233,5400000.0
195,B,1,1.0,620.0,2.0,0.0,197,4800000.0
196,B,1,4.0,3092.0,4.0,3.0,126,23000000.0
197,B,1,3.0,1520.0,3.0,2.0,289,11100000.0
198,B,1,3.0,1750.0,3.0,2.0,204,10500000.0
199,B,1,2.0,1000.0,2.0,1.0,156,6000000.0
200,B,1,4.0,1140.0,3.0,1.0,120,14500000.0
201,B,1,3.0,1636.0,3.0,2.0,332,9200000.0
202,B,1,3.0,1419.0,2.0,3.0,254,7300000.0
203,B,1,3.0,1430.0,2.0,2.0,233,5600000.0
204,B,1,3.0,1230.0,2.0,2.0,435,5200000.0
205,B,1,2.0,1065.0,2.0,3.0,382,3150000.0
206,B,1,2.0,940.0,2.0,1.0,203,4900000.0
207,B,1,3.0,715.0,2.0,0.0,493,3200000.0
208,B,1,2.0,1200.0,2.0,2.0,295,5200000.0
209,B,1,3.0,1535.0,3.0,2.0,352,8300000.0
210,B,1,3.0,2215.0,4.0,2.0,88,15200000.0
211,B,1,2.0,1145.0,2.0,2.0,145,4800000.0
212,B,1,4.0,2000.0,3.0,2.0,8,106300000.0
213,B,1,3.0,2392.0,3.0,2.0,72,24900000.0
214,B,1,2.0,1409.0,2.0,2.0,67,9500000.0
215,B,1,4.0,2100.0,3.0,1.0,121,14700000.0
216,B,1,2.0,1270.0,2.0,2.0,234,8000000.0
217,P,1,2.0,3040.0,1.0,1.0,91,18000000.0
218,B,1,3.0,1020.0,3.0,2.0,39,11000000.0
219,P,1,3.0,1500.0,2.0,1.0,294,12000000.0
220,B,1,3.0,1852.0,3.0,2.0,67,13000000.0
221,B,0,1.0,702.0,1.0,1.0,171,5200000.0
222,B,1,3.0,1608.0,2.0,3.0,134,6300000.0
223,B,1,3.0,1330.0,2.0,1.0,171,4800000.0
224,B,1,2.0,955.0,2.0,3.0,384,5355000.0
225,B,1,2.0,1380.0,2.0,1.0,254,7500000.0
226,B,1,3.0,1720.0,3.0,1.0,298,9500000.0
227,P,1,4.0,4007.0,4.0,3.0,134,53000000.0
228,B,1,2.0,1175.0,2.0,1.0,447,6000000.0
229,B,1,2.0,1243.0,2.0,2.0,301,4600000.0
230,B,0,2.0,1216.0,2.0,1.0,134,7900000.0
231,B,1,2.0,1065.0,2.0,2.0,234,5500000.0
232,B,1,2.0,1140.0,2.0,2.0,145,4600000.0
233,B,0,2.0,1036.0,2.0,1.0,182,5946000.0
234,B,1,3.0,1571.0,3.0,2.0,447,10500000.0
235,P,1,1.0,1200.0,1.0,1.0,197,12500000.0
236,B,0,2.0,1180.0,2.0,2.0,335,5700000.0
237,B,1,3.0,1330.0,3.0,2.0,430,6500000.0
238,B,1,3.0,1600.0,2.0,0.0,49,14000000.0
239,B,0,3.0,1033.0,2.0,2.0,278,3047000.0
240,B,1,3.0,1643.0,2.0,2.0,424,7000000.0
241,B,1,2.0,950.0,2.0,1.0,225,5811000.0
242,B,0,2.0,1335.0,2.0,2.0,447,6700000.0
243,P,1,5.0,10000.0,4.0,2.0,171,97500000.0
244,B,1,2.0,1055.0,2.0,3.0,72,7500000.0
245,P,1,6.0,1400.0,6.0,3.0,230,16000000.0
246,B,1,3.0,1683.0,3.0,3.0,107,8000000.0
247,B,1,2.0,1140.0,2.0,2.0,227,5066000.0
248,B,1,3.0,1365.0,2.0,2.0,245,4900000.0
249,B,1,2.0,1300.0,1.0,1.0,120,11500000.0
250,P,1,8.0,1500.0,8.0,2.0,294,15000000.0
251,B,1,2.0,1194.0,2.0,2.0,301,4700000.0
252,B,1,2.0,1125.0,2.0,2.0,175,7500000.0
253,B,1,2.0,870.0,2.0,1.0,191,6500000.0
254,B,1,3.0,1270.0,2.0,2.0,305,5715000.0
255,B,1,2.0,1100.0,2.0,2.0,110,7000000.0
256,B,1,3.0,1700.0,3.0,3.0,49,25000000.0
257,B,1,2.0,1050.0,2.0,2.0,182,4273000.0
258,B,1,3.0,1400.0,3.0,0.0,102,6500000.0
259,B,0,2.0,1115.0,2.0,1.0,231,6512000.0
260,B,1,3.0,1431.0,3.0,2.0,307,6500000.0
261,B,1,3.0,2059.0,3.0,2.0,203,22500000.0
262,B,1,3.0,1385.0,2.0,2.0,234,6665000.000000001
263,B,1,3.0,1715.0,3.0,3.0,204,11200000.0
264,B,1,2.0,1444.0,2.0,2.0,332,7000000.0
265,B,1,2.0,1300.0,2.0,1.0,134,5800000.0
266,B,1,3.0,1600.0,2.0,1.0,308,9000000.0
267,B,1,4.0,2483.0,5.0,2.0,78,21200000.0
268,B,1,3.0,1352.0,3.0,0.0,52,13500000.0
269,P,1,4.0,1900.0,4.0,2.0,175,18500000.0
270,B,0,3.0,1703.0,3.0,2.0,106,13000000.0
271,B,1,3.0,1820.0,3.0,2.0,332,8520000.0
272,B,1,2.0,1197.0,2.0,1.0,171,5686000.0
273,B,1,3.0,1630.0,3.0,2.0,177,8500000.0
274,B,1,3.0,2100.0,3.0,3.0,266,12000000.0
275,B,1,3.0,1452.0,2.0,1.0,203,4100000.0
276,B,1,2.0,934.0,2.0,2.0,233,5500000.0
277,B,1,3.0,1836.0,3.0,2.0,282,14800000.0
278,P,1,4.0,5000.0,5.0,3.0,20,95000000.0
279,B,1,1.0,600.0,1.0,1.0,497,2280000.0
280,B,1,1.0,600.0,1.0,1.0,203,7500000.0
281,B,1,1.0,488.0,1.0,1.0,265,2000000.0
282,P,1,3.0,1200.0,3.0,0.0,120,20000000.0
283,B,1,2.0,1095.0,2.0,1.0,134,3500000.0
284,P,1,3.0,600.0,4.0,0.0,230,9900000.0
285,B,1,2.0,1200.0,2.0,1.0,143,5400000.0
286,B,0,3.0,1346.0,2.0,1.0,134,10000000.0
287,B,1,2.0,1145.0,2.0,2.0,90,4000000.0
288,B,1,2.0,1295.0,2.0,1.0,266,6500000.0
289,B,1,2.0,1200.0,2.0,1.0,113,7400000.0
290,B,1,2.0,958.0,2.0,1.0,369,3449000.0
291,B,1,3.0,1498.0,3.0,2.0,335,7490000.000000001
292,P,1,5.0,2400.0,5.0,3.0,31,62500000.0
293,B,1,3.0,1405.0,2.0,1.0,134,7800000.0
294,B,1,3.0,1680.0,3.0,2.0,203,12200000.0
295,P,1,3.0,1500.0,2.0,1.0,294,10000000.0
296,B,0,2.0,985.0,2.0,1.0,289,6300000.0
297,B,1,2.0,1243.0,2.0,1.0,301,4600000.0
298,B,0,3.0,3489.0,3.0,1.0,5,66200000.0
299,B,1,2.0,1000.0,2.0,1.0,268,4500000.0
300,B,1,2.0,1200.0,2.0,1.0,254,5000000.0
301,B,1,3.0,1700.0,3.0,3.0,335,12000000.0
302,B,1,1.0,600.0,1.0,1.0,435,3500000.0
303,P,1,4.0,1100.0,5.0,2.0,110,12100000.0
304,B,0,1.0,700.0,1.0,1.0,234,3800000.0
305,B,0,3.0,1410.0,2.0,2.0,93,4512000.0
306,B,1,2.0,1492.0,2.0,2.0,483,6500000.0
307,B,1,2.0,1230.0,2.0,3.0,155,5500000.0
308,B,0,3.0,1240.0,3.0,2.0,203,4350000.0
309,B,0,2.0,1216.0,2.0,1.0,134,6900000.0
310,B,1,2.0,1255.0,2.0,1.0,182,5232000.0
311,B,0,2.0,1132.0,2.0,1.0,242,8937000.0
312,B,1,3.0,1835.0,3.0,2.0,282,16000000.0
313,B,1,3.0,1305.0,2.0,2.0,121,4900000.0
314,B,1,3.0,1470.0,3.0,2.0,398,5400000.0
315,P,1,2.0,1230.0,2.0,0.0,229,6800000.0
316,B,1,2.0,985.0,2.0,1.0,369,6250000.0
317,P,1,2.0,1200.0,2.0,1.0,234,6500000.0
318,P,1,2.0,1200.0,2.0,2.0,203,20000000.0
319,B,1,2.0,1063.0,2.0,1.0,214,5800000.0
320,B,1,3.0,1750.0,3.0,2.0,244,8500000.0
321,B,0,3.0,1590.0,3.0,3.0,203,13100000.0
322,B,1,2.0,950.0,2.0,2.0,322,4500000.0
323,P,1,4.0,2400.0,5.0,2.0,85,35000000.0
324,B,0,2.0,1145.0,2.0,2.0,329,5840000.0
325,B,0,2.0,1088.0,2.0,1.0,447,3046000.0
326,B,1,4.0,2330.0,5.0,1.0,93,17500000.0
327,B,1,3.0,1573.0,3.0,2.0,233,11500000.0
328,P,1,5.0,1350.0,4.0,1.0,234,13500000.0
329,B,0,2.0,927.0,2.0,2.0,435,3700000.0
330,P,1,2.0,2400.0,3.0,1.0,447,15000000.0
331,B,1,2.0,1255.0,2.0,2.0,182,5450000.0
332,B,1,3.0,1449.0,3.0,2.0,234,11000000.0
333,P,1,2.0,550.0,1.0,1.0,191,6200000.0
334,B,1,2.0,1100.0,2.0,1.0,315,5500000.0
335,P,1,4.0,2760.0,4.0,2.0,226,29000000.0
336,B,1,3.0,1635.0,2.0,2.0,134,8500000.0
337,B,1,3.0,1530.0,3.0,2.0,204,10500000.0
338,B,1,3.0,1654.0,3.0,3.0,225,8200000.0
339,P,1,3.0,750.0,3.0,2.0,92,15500000.0
340,P,1,4.0,2000.0,4.0,1.0,134,31200000.0
341,B,1,3.0,1525.0,2.0,2.0,171,6500000.0
342,B,1,3.0,1075.0,2.0,1.0,225,5000000.0
343,B,1,2.0,1255.0,2.0,1.0,351,8000000.0
344,P,1,4.0,1000.0,4.0,2.0,203,13000000.0
345,B,1,2.0,960.0,2.0,3.0,235,5600000.0
346,P,1,4.0,1500.0,5.0,3.0,203,22000000.0
347,B,0,2.0,674.0,1.0,1.0,493,1989999.9999999998
348,B,0,3.0,1500.0,2.0,1.0,447,7750000.0
349,B,1,3.0,1975.0,3.0,3.0,261,9000000.0
350,P,1,7.0,2456.0,7.0,2.0,227,8500000.0
351,B,1,1.0,583.0,1.0,1.0,393,2690000.0
352,B,1,4.0,1750.0,2.0,1.0,74,22500000.0
353,P,1,6.0,3000.0,8.0,2.0,257,40000000.0
354,B,1,2.0,1031.0,2.0,1.0,447,5448000.0
355,B,1,1.0,1500.0,1.0,0.0,197,6000000.0
356,B,1,2.0,1100.0,2.0,2.0,182,5500000.0
357,B,1,3.0,2409.0,3.0,2.0,93,36000000.0
358,B,1,1.0,662.0,1.0,1.0,233,2900000.0
359,B,1,3.0,1580.0,3.0,1.0,396,6000000.0
360,B,0,1.0,575.0,1.0,1.0,301,8800000.0
361,B,1,2.0,795.0,2.0,2.0,435,3200000.0
362,B,1,3.0,2357.0,3.0,2.0,280,13500000.0
363,P,1,4.0,1200.0,4.0,3.0,145,37500000.0
364,B,0,2.0,940.0,2.0,1.0,352,6956999.999999999
365,B,1,3.0,1590.0,3.0,2.0,396,5700000.0
366,B,1,3.0,1380.0,2.0,2.0,205,5500000.0
367,P,1,3.0,1200.0,3.0,1.0,234,15000000.0
368,B,1,3.0,1670.0,3.0,2.0,247,16000000.0
369,P,1,2.0,880.0,1.0,0.0,120,9000000.0
370,P,1,2.0,1000.0,2.0,0.0,106,6600000.0
371,B,0,2.0,1369.0,2.0,1.0,181,10400000.0
372,B,0,3.0,2321.0,4.0,1.0,134,15700000.0
373,B,1,2.0,1404.0,2.0,1.0,336,7000000.0
374,B,1,2.0,1091.0,2.0,1.0,278,3490000.0
375,B,1,4.0,3000.0,4.0,0.0,340,10000000.0
376,B,1,2.0,1470.0,2.0,2.0,252,8600000.0
377,B,1,3.0,1570.0,3.0,1.0,106,10500000.0
378,B,1,3.0,1075.0,2.0,1.0,225,4500000.0
379,B,0,3.0,1190.0,2.0,2.0,493,3035000.0
380,B,1,3.0,1350.0,2.0,2.0,396,5300000.0
381,B,0,2.0,927.0,2.0,2.0,120,3700000.0
382,B,1,1.0,840.0,2.0,2.0,203,5000000.0
383,B,1,3.0,1417.0,2.0,2.0,247,7600000.0
384,B,1,3.0,1250.0,3.0,2.0,289,13900000.0
385,B,1,2.0,1201.0,2.0,2.0,493,2700000.0
386,B,1,3.0,1329.0,2.0,2.0,171,4595000.0
387,B,1,2.0,1140.0,2.0,1.0,171,4000000.0
388,B,0,3.0,3150.0,3.0,1.0,134,29000000.0
389,B,1,2.0,1075.0,2.0,3.0,78,5200000.0
390,B,1,2.0,1155.0,2.0,2.0,252,4274000.0
391,B,1,3.0,1625.0,3.0,2.0,96,12000000.0
392,B,0,2.0,1080.0,2.0,2.0,203,3700000.0
393,B,1,3.0,1760.0,3.0,2.0,78,12300000.0
394,B,0,2.0,1260.0,2.0,2.0,247,6678000.0
395,P,1,4.0,1200.0,3.0,1.0,96,21000000.0
396,B,1,3.0,1609.0,3.0,3.0,447,11500000.0
397,P,1,9.0,1380.0,9.0,0.0,181,15000000.0
398,B,0,2.0,1070.0,2.0,1.0,447,4700000.0
399,B,1,2.0,1200.0,2.0,2.0,341,8000000.0
400,B,1,3.0,1590.0,3.0,2.0,396,5700000.0
401,P,1,3.0,1550.0,2.0,1.0,164,15000000.0
402,B,1,2.0,950.0,2.0,2.0,120,3800000.0
403,B,1,3.0,2250.0,3.0,1.0,16,20000000.0
404,B,1,3.0,1600.0,3.0,2.0,231,9500000.0
405,B,0,2.0,1005.0,2.0,1.0,447,3977000.0000000005
406,B,0,3.0,1400.0,2.0,2.0,447,4158000.0
407,B,0,3.0,1615.0,3.0,1.0,93,17500000.0
408,B,0,2.0,865.0,2.0,1.0,437,3511000.0
409,B,1,2.0,1091.0,2.0,1.0,278,3382000.0
410,B,1,2.0,1030.0,2.0,2.0,93,4650000.0
411,P,1,3.0,2400.0,3.0,3.0,171,8500000.0
412,B,1,2.0,1035.0,2.0,1.0,203,3933000.0
413,B,1,2.0,940.0,2.0,1.0,447,4100000.0
414,B,1,3.0,1150.0,2.0,2.0,335,4025000.0
415,B,1,2.0,1246.0,2.0,1.0,336,6700000.0
416,P,1,5.0,1200.0,5.0,1.0,90,26000000.0
417,B,1,2.0,1255.0,2.0,2.0,182,5235000.0
418,B,1,1.0,500.0,1.0,0.0,189,2400000.0
419,B,1,2.0,975.0,2.0,1.0,369,6500000.0
420,B,1,2.0,1300.0,2.0,2.0,301,7500000.0
421,B,0,1.0,690.0,1.0,1.0,345,3979999.9999999995
422,B,0,2.0,983.0,2.0,1.0,335,5060000.0
423,B,1,2.0,1000.0,2.0,1.0,435,2500000.0
424,B,1,2.0,1160.0,2.0,2.0,414,4408000.0
425,B,1,3.0,1902.0,3.0,2.0,257,8900000.0
426,P,1,6.0,1790.0,5.0,1.0,120,25000000.0
427,B,1,3.0,1600.0,3.0,3.0,103,13000000.0
428,B,0,1.0,296.0,1.0,0.0,212,2289000.0
429,B,1,3.0,1550.0,3.0,3.0,335,6511000.0
430,B,1,3.0,1340.0,3.0,1.0,407,6600000.0
431,B,1,2.0,650.0,1.0,1.0,225,2000000.0
432,B,0,2.0,1322.0,2.0,1.0,260,6199000.0
433,B,1,3.0,1600.0,3.0,3.0,265,6137000.0
434,B,0,2.0,1140.0,2.0,1.0,447,3384000.0000000005
435,P,1,1.0,10030.0,1.0,1.0,265,15000000.0
436,B,0,2.0,984.0,2.0,1.0,171,4591000.0
437,B,0,2.0,1296.0,2.0,1.0,335,8900000.0
438,B,1,2.0,1050.0,2.0,1.0,214,4500000.0
439,B,1,2.0,1010.0,2.0,2.0,203,5700000.0
440,B,1,2.0,1116.0,2.0,1.0,252,4500000.0
441,B,1,4.0,3175.0,4.0,1.0,265,15600000.0
442,B,1,2.0,1294.0,2.0,1.0,78,11500000.0
443,B,1,2.0,1221.0,2.0,2.0,447,6800000.0
444,P,1,5.0,1750.0,5.0,1.0,43,45000000.0
445,B,1,3.0,1476.0,3.0,0.0,205,8900000.0
446,B,1,3.0,1542.0,3.0,2.0,261,9800000.0
447,B,1,3.0,1430.0,3.0,1.0,249,7865000.000000001
448,B,1,2.0,1200.0,2.0,0.0,109,9000000.0
449,B,1,2.0,929.0,2.0,1.0,369,5600000.0
